Altium Designer Pick and Place Locations
C:\Users\Sasa\Desktop\git\DIY_EINK_Gadget\Hardware\nrf52810_discrete\Project Outputs for DIY_EINK_Gadget\Pick Place\Pick Place for DIY_EINK_Gadget.txt

========================================================================================================================
File Design Information:

Date:       20-02-23
Time:       22:07
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

Designator Comment                            Layer       Footprint                  Center-X(mil) Center-Y(mil) Rotation Description                                                             
R11        Res                                TopLayer    0603                       -50.000mil    -550.000mil   90       Resistor                                                                
R10        Res                                TopLayer    0603                       -50.000mil    -440.000mil   90       Resistor                                                                
L5         Inductor                           TopLayer    0603_IND                   563.799mil    745.000mil    0        Inductor                                                                
C30        Cap                                TopLayer    0603_-_CAP                 470.000mil    715.000mil    90       Capacitor                                                               
A1         2450AT18B100E                      TopLayer    2450AT18B100               740.000mil    745.000mil    0        "2.4GHz - Chip RF Antenna 2.4GHz ~ 2.5GHz 0.5dBi Solder Surface Mount"  
P3         "USB-C Recepticle"                 TopLayer    GCT_USB4105-GF-A           -731.398mil   -400.000mil   270      "CONN RCPT USB2.0 TYPEC 5A"                                             
P4         "Battery Connector"                TopLayer    Header_2x1_SMD             -245.000mil   -770.000mil   270      "Header, 2-Pin"                                                         
P1         ICSP                               TopLayer    Header_6x1_M_-_90Deg_-_SMT 345.000mil    435.000mil    0        "Header, 6-Pin"                                                         
R9         Res                                TopLayer    0603                       -768.307mil   275.000mil    0        Resistor                                                                
R8         Res                                TopLayer    0603                       -768.307mil   336.693mil    0        Resistor                                                                
Q2         DMN62D0U-13                        TopLayer    SOT90P240X100-3N           -595.000mil   295.000mil    270      "MOSFET N-CH 60V 0.38A"                                                 
U1         NRF52810-QCAA-R                    TopLayer    QFN50P500X500X100_HS-33N   -70.000mil    160.000mil    90       "IC RF TxRx + MCU Bluetooth Bluetooth v5.0 2.4GHz 32-VFQFN Exposed Pad" 
X2         32.00MHz                           TopLayer    XTAL-4LEAD-2016            -251.575mil   419.331mil    0        "32 MHz ±10ppm Crystal 8pF 50 Ohms 4-SMD, No Lead"                      
X1         32.768KHz                          TopLayer    XTAL-2LEAD-3215            -135.000mil   -65.000mil    0        "32.768 kHz ±20ppm Crystal 7pF 70 kOhms 2-SMD, No Lead"                 
U3         MCP73832T                          TopLayer    SOT-23-5                   -345.000mil   -479.599mil   180      "1xLi-Ion char, 0.5A, 4.2V reg, 3.75-6V"                                
U2         TPS7A0333DBVR                      TopLayer    SOT-23-5                   -290.000mil   -305.402mil   0        "Linear Voltage Regulator IC  1 Output  450mA SOT-23-5"                 
SW3        "SWITCH TACTILE SPST-NO 0.05A 12V" BottomLayer PTS645                     -748.032mil   0.000mil      90       "SWITCH TACTILE SPST-NO 0.05A 12V"                                      
SW2        "SWITCH TACTILE SPST-NO 0.05A 12V" BottomLayer PTS645                     748.032mil    0.000mil      270      "SWITCH TACTILE SPST-NO 0.05A 12V"                                      
SW1        "SWITCH TACTILE SPST-NO 0.05A 12V" BottomLayer PTS645                     0.000mil      0.000mil      90       "SWITCH TACTILE SPST-NO 0.05A 12V"                                      
R7         Res                                TopLayer    0603                       -470.000mil   -125.000mil   270      Resistor                                                                
